SiteName,Basin,HasEelgrass,EelgrassLabel,MeanEncounterRate,TotalPycnoCount,HasDetection,NRecords,NTransectLocations
Freshwater Bay,Strait of Juan de Fuca,True,Eelgrass Site,2.958133971291866,12,True,22,4
Friday Harbor Reef,San Juan,False,Non-Eelgrass Site,0.0,0,False,30,4
Frost Island North Point,San Juan,False,Non-Eelgrass Site,0.0,0,False,1,1
Fulton Creek,Hood Canal,False,Non-Eelgrass Site,3.2714285714285714,5,True,4,2
Gangsta's Paradise,Queen Charlotte Strait,False,Non-Eelgrass Site,0.0,0,False,4,4
Gardiner Boat Ramp,Strait of Juan de Fuca,False,Non-Eelgrass Site,0.0,0,False,2,2
Glen Ayr Ravine,Hood Canal,False,Non-Eelgrass Site,0.0,0,False,1,1
Goby Garden,Hood Canal,False,Non-Eelgrass Site,4.615384615384616,2,True,1,1
Gooseneck Grotto,Queen Charlotte Strait,False,Non-Eelgrass Site,0.0,0,False,4,4
Halkett Wall,Howe Sound,False,Non-Eelgrass Site,0.0,0,False,17,4
Hat Island Cloud Sponges,Whidbey,False,Non-Eelgrass Site,0.0,0,False,6,1
Hat Island Ledge,Whidbey,True,Eelgrass Site,9.659090909090908,6,True,6,3
Holmes Harbor,Whidbey,True,Eelgrass Site,25.589379533506854,301,True,48,7
Hutt Rock,Howe Sound,False,Non-Eelgrass Site,1.3333333333333333,1,True,15,5
Jones Island,San Juan,False,Non-Eelgrass Site,0.47619047619047616,1,True,18,4
Jorsted Creek,Hood Canal,False,Non-Eelgrass Site,1.077922077922078,3,True,11,4
KVI Tower,Central,True,Eelgrass Site,0.2076502732240437,2,True,61,6
Kat's Corner,Hood Canal,False,Non-Eelgrass Site,0.0,0,False,6,4
Kellet's Bluff,San Juan,False,Non-Eelgrass Site,0.0,0,False,13,5
Kelvin Grove,Howe Sound,False,Non-Eelgrass Site,0.0,0,False,2,2
Keystone Jetty,Admiralty Inlet,False,Non-Eelgrass Site,0.6004280065370105,26,True,228,6
Keystone Jetty - Pilings,Admiralty Inlet,False,Non-Eelgrass Site,0.0,0,False,3,3
Kydaka Point,Strait of Juan de Fuca,False,Non-Eelgrass Site,2.594059405940594,4,True,2,1
Langley Tire Reef,Whidbey,True,Eelgrass Site,14.81692468691044,841,True,212,6
Larry's Lair,San Juan,True,Eelgrass Site,0.0,0,False,61,5
Les Davis Marine Park,Central,True,Eelgrass Site,0.10526315789473684,1,True,57,7
Lime Kiln,San Juan,False,Non-Eelgrass Site,0.0,0,False,7,3
Lobster Shop Wall,Central,True,Eelgrass Site,0.0,0,False,55,6
Lowman Beach Park,Central,True,Eelgrass Site,0.0,0,False,7,4
Lucan Chute,Queen Charlotte Strait,False,Non-Eelgrass Site,3.0,1,True,2,2
Madrona Point,Strait of Georgia,True,Eelgrass Site,5.7272727272727275,3,True,4,4
Maury Island Barges,Central,True,Eelgrass Site,0.0,0,False,14,4
Mike's Beach Resort,Hood Canal,False,Non-Eelgrass Site,6.0,3,True,1,1
Mukilteo Lighthouse,Whidbey,True,Eelgrass Site,0.4932844932844933,5,True,65,5
Mukilteo T-Dock,Whidbey,False,Non-Eelgrass Site,0.07637906647807638,2,True,101,6
Norrander's,Central,False,Non-Eelgrass Site,0.0,0,False,57,5
North Beach,Admiralty Inlet,True,Eelgrass Site,0.0,0,False,14,4
Northwest Island,San Juan,False,Non-Eelgrass Site,0.0,0,False,43,6
O'Neal Island,San Juan,False,Non-Eelgrass Site,0.4411764705882353,4,True,17,4
Octopus Hole,Hood Canal,False,Non-Eelgrass Site,2.867933671358839,43,True,79,4
Odlin County Park,San Juan,False,Non-Eelgrass Site,0.0,0,False,1,1
Owen Beach,Central,False,Non-Eelgrass Site,1.6,2,True,15,4
Passage Island,Howe Sound,False,Non-Eelgrass Site,0.32967032967032966,2,True,26,4
Pile Point,San Juan,False,Non-Eelgrass Site,0.0,0,False,54,5
Point Caution,San Juan,False,Non-Eelgrass Site,0.0,0,False,5,3
Point Dalco,Central,False,Non-Eelgrass Site,0.0,0,False,1,1
Point Defiance North Wall,Central,False,Non-Eelgrass Site,0.0,0,False,7,4
Point Defiance West Kelp Beds,Central,False,Non-Eelgrass Site,0.0,0,False,4,4
Point George,San Juan,False,Non-Eelgrass Site,0.0,0,False,4,3
Point Hudson,Admiralty Inlet,True,Eelgrass Site,0.6026785714285714,4,True,56,5
Point Ruston,Central,False,Non-Eelgrass Site,0.08064516129032258,3,True,62,5
Point Whitney Shellfish Lab,Hood Canal,True,Eelgrass Site,1.5126050420168067,7,True,51,7
Posession point ferry (Kehloken),Whidbey,False,Non-Eelgrass Site,10.0,1,True,1,1
Possession Point Fingers,Whidbey,False,Non-Eelgrass Site,0.005398110661268557,1,True,247,5
Potlatch State Park,Hood Canal,False,Non-Eelgrass Site,12.502842779340474,38,True,7,2
Pulali Point,Hood Canal,False,Non-Eelgrass Site,3.8095238095238093,2,True,2,2
Pulali Point West Wall,Hood Canal,False,Non-Eelgrass Site,3.6666666666666665,3,True,5,5
Redondo Beach,Central,False,Non-Eelgrass Site,0.12,1,True,50,11
Rock of Life,Queen Charlotte Strait,False,Non-Eelgrass Site,0.0,0,False,4,4
Rosario - Orcas,San Juan,False,Non-Eelgrass Site,0.16806722689075632,1,True,7,2
Rosario Beach Urchin Rocks,San Juan,False,Non-Eelgrass Site,0.08995502248875563,2,True,58,4
Rosario Head,San Juan,False,Non-Eelgrass Site,0.0,0,False,6,3
Rosie's Ravine,Hood Canal,False,Non-Eelgrass Site,9.333333333333334,5,True,3,1
SE Young Isalnd,San Juan,False,Non-Eelgrass Site,0.0,0,False,2,2
Salt Creek,Strait of Juan de Fuca,False,Non-Eelgrass Site,6.0,10,True,10,4
Saltwater State Park,Central,True,Eelgrass Site,0.019071837253655438,1,True,121,7
Sares Head,San Juan,False,Non-Eelgrass Site,0.0,0,False,3,3
Scenic Beach State Park,Hood Canal,True,Eelgrass Site,13.193203189935216,75,True,27,2
Seabeck Bay,Hood Canal,True,Eelgrass Site,0.0,0,False,1,1
Sekiu,Strait of Juan de Fuca,True,Eelgrass Site,2.999304495589063,59,True,60,8
Sekiu Outer Reef,Strait of Juan de Fuca,False,Non-Eelgrass Site,1.153846153846154,2,True,1,1
Seven Tree Island,Queen Charlotte Strait,False,Non-Eelgrass Site,0.0,0,False,4,4
Shirttail Reef,San Juan,False,Non-Eelgrass Site,0.0,0,False,8,5
Skyline,San Juan,True,Eelgrass Site,0.0,0,False,81,5
Smith Island,San Juan,False,Non-Eelgrass Site,0.0,0,False,6,2
South Hat Island,Whidbey,False,Non-Eelgrass Site,1.3793103448275863,2,True,3,1
Strawberry Falls,San Juan,False,Non-Eelgrass Site,0.0,0,False,4,4
Sucia Island - Lawson's Bluff,San Juan,False,Non-Eelgrass Site,0.07518796992481203,1,True,57,5
Sund Rock,Hood Canal,False,Non-Eelgrass Site,3.7247811673602533,66,True,94,11
Sund Rock North,Hood Canal,False,Non-Eelgrass Site,1.7857142857142858,6,True,28,6
Sund Rock South,Hood Canal,False,Non-Eelgrass Site,1.7411557215478783,16,True,27,5
Sunnyside Beach Park,South,True,Eelgrass Site,0.0,0,False,53,6
Sunrise Beach State Park,Central,False,Non-Eelgrass Site,0.0,0,False,22,3
Tacoma Narrows,Central,False,Non-Eelgrass Site,0.0,0,False,4,4
Tacoma Narrows - Point Evans,South,False,Non-Eelgrass Site,0.0,0,False,1,1
The Pinnacle,Hood Canal,False,Non-Eelgrass Site,9.6,4,True,1,1
Three Tree Point,Central,False,Non-Eelgrass Site,0.0,0,False,24,4
Titlow Beach Park,Central,True,Eelgrass Site,0.10285714285714287,3,True,50,4
Triton Cove,Hood Canal,True,Eelgrass Site,4.773838358149684,59,True,64,5
Triton Head,Hood Canal,False,Non-Eelgrass Site,9.362787668258793,10,True,4,2
Unknown Site,Queen Charlotte Strait,False,Non-Eelgrass Site,3.333333333333333,2,True,2,2
Upright Head South,San Juan,False,Non-Eelgrass Site,0.0,0,False,1,1
Vertical barge ISM 425,Central,False,Non-Eelgrass Site,0.0,0,False,2,2
Whytecliff,Howe Sound,True,Eelgrass Site,0.0,0,False,21,5
Wreck of the Ranger,Admiralty Inlet,True,Eelgrass Site,0.9,3,True,20,4
Z's Reef,South,True,Eelgrass Site,0.0,0,False,20,3
