,Date,Survey.Time,Region,SiteName,Basin,Water.Temperature..F.,DepthBin,Transect..,HabitatType,Pycno.notes..disease.presence..behavior..etc..,Pycnopodia_count
35,7/2/2023,32,Puget Sound,Alki - Cove 2,Central,52,Intermediate,3,Artificial Reef,,0
36,7/2/2023,5,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,,0
37,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Deep,2,Artificial Reef,,0
38,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Intermediate,3,Artificial Reef,,0
39,7/2/2023,3,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,,0
40,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Deep,2,Artificial Reef,,0
41,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Intermediate,3,Artificial Reef,,0
42,11/11/2023,25,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,,0
43,11/11/2023,11,Puget Sound,Alki - Cove 2,Central,52,Shallow,2,Artificial Reef,,0
44,11/11/2023,6,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,,0
45,11/11/2023,7,Puget Sound,Alki - Cove 2,Central,52,Deep,2,Artificial Reef,,0
46,11/11/2023,15,Puget Sound,Alki - Cove 2,Central,52,Intermediate,3,Artificial Reef,,0
47,11/11/2023,10,Puget Sound,Alki - Cove 2,Central,52,Shallow,4,Artificial Reef,,0
48,3/25/2024,5,puget Sound,Alki - Cove 2,Central,48,Intermediate,1,Artificial Reef,,0
49,3/25/2024,3,puget Sound,Alki - Cove 2,Central,48,Deep,2,Artificial Reef,,0
50,3/25/2024,5,puget Sound,Alki - Cove 2,Central,48,Deep,3,Artificial Reef,,0
51,3/25/2024,4,puget Sound,Alki - Cove 2,Central,48,Deep,4,Artificial Reef,,0
52,3/25/2024,3,puget Sound,Alki - Cove 2,Central,48,Deep,5,Artificial Reef,,0
53,3/25/2024,4,puget Sound,Alki - Cove 2,Central,48,Deep,6,Artificial Reef,,0
54,3/25/2024,9,puget Sound,Alki - Cove 2,Central,48,Intermediate,7,Artificial Reef,,0
55,3/25/2024,15,puget Sound,Alki - Cove 2,Central,48,Intermediate,8,Artificial Reef,,0
56,3/25/2024,10,puget Sound,Alki - Cove 2,Central,48,Shallow,9,Artificial Reef,,0
57,3/25/2024,3,puget Sound,Alki - Cove 2,Central,48,Intermediate,1,Artificial Reef,,0
58,3/25/2024,4,puget Sound,Alki - Cove 2,Central,48,Deep,2,Artificial Reef,,0
59,3/25/2024,5,puget Sound,Alki - Cove 2,Central,48,Deep,3,Artificial Reef,,0
60,3/25/2024,4,puget Sound,Alki - Cove 2,Central,48,Deep,5,Artificial Reef,,0
61,3/25/2024,6,puget Sound,Alki - Cove 2,Central,48,Deep,6,Artificial Reef,,0
62,3/25/2024,5,puget Sound,Alki - Cove 2,Central,48,Intermediate,7,Artificial Reef,,0
63,3/25/2024,5,puget Sound,Alki - Cove 2,Central,48,Intermediate,8,Artificial Reef,,0
64,3/25/2024,10,puget Sound,Alki - Cove 2,Central,48,Shallow,9,Artificial Reef,,0
65,4/2/2024,7,Puget Sound,Alki - Cove 2,Central,48,Deep,1,Artificial Reef,,0
66,4/2/2024,5,Puget Sound,Alki - Cove 2,Central,48,Deep,2,Artificial Reef,,0
67,4/2/2024,5,Puget Sound,Alki - Cove 2,Central,48,Deep,3,Artificial Reef,,0
68,4/2/2024,6,Puget Sound,Alki - Cove 2,Central,48,Deep,4,Artificial Reef,,0
69,4/2/2024,5,Puget Sound,Alki - Cove 2,Central,48,Deep,5,Artificial Reef,,0
70,4/2/2024,4,Puget Sound,Alki - Cove 2,Central,48,Intermediate,6,Artificial Reef,,0
71,4/2/2024,3,Puget Sound,Alki - Cove 2,Central,48,Shallow,7,Artificial Reef,,0
72,8/18/2024,8.5,Puget Sound,Alki - Cove 2,Central,55,Intermediate,1,Artificial Reef,,0
73,8/18/2024,2.5,Puget Sound,Alki - Cove 2,Central,55,Deep,2,Soft Bottom,,0
74,8/18/2024,7.5,Puget Sound,Alki - Cove 2,Central,55,Deep,3,Artificial Reef,,0
75,8/18/2024,7,Puget Sound,Alki - Cove 2,Central,55,Intermediate,4,Artificial Reef,,0
76,8/18/2024,6,Puget Sound,Alki - Cove 2,Central,55,Shallow,5,Artificial Reef,,0
77,8/18/2024,20,Puget Sound,Alki - Cove 2,Central,55,Intermediate,1,Soft Bottom,,0
78,8/18/2024,8,Puget Sound,Alki - Cove 2,Central,55,Intermediate,2,Artificial Reef,,0
79,8/18/2024,5,Puget Sound,Alki - Cove 2,Central,55,Shallow,3,Artificial Reef,,0
80,12/7/2024,31,Puget Sound,Alki - Cove 2,Central,50,Deep,1,Artificial Reef,,0
81,12/7/2024,18,Puget Sound,Alki - Cove 2,Central,50,Intermediate,2,Artificial Reef,,0
82,12/7/2024,4,Puget Sound,Alki - Cove 2,Central,50,Shallow,3,Artificial Reef,,0
83,3/29/2025,4,Puget Sound,Alki - Cove 2,Central,46,Intermediate,1,Artificial Reef,,0
84,3/29/2025,13,Puget Sound,Alki - Cove 2,Central,46,Deep,2,Artificial Reef,,0
85,3/29/2025,30,Puget Sound,Alki - Cove 2,Central,46,Intermediate,3,Artificial Reef,,0
86,12/3/2025,44,Puget Sound,Alki - Cove 2,Central,52,Deep,1,Artificial Reef,,14
87,12/3/2025,38,Puget Sound,Alki - Cove 2,Central,52,Intermediate,2,Artificial Reef,,0
88,12/6/2022,48,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,,0
89,12/6/2022,23,Puget Sound,Alki - Cove 2,Central,52,Shallow,2,Artificial Reef,,0
90,7/19/2025,20,Puget Sound,Allan Island North,San Juan,51,Deep,1,Natural Reef,,0
91,7/19/2025,15,Puget Sound,Allan Island North,San Juan,51,Intermediate,2,Natural Reef,,0
92,7/25/2023,10,Puget Sound,Bachelor Rock,Strait of Juan de Fuca,49,Intermediate,2,Soft Bottom,,1
93,7/25/2023,10,Puget Sound,Bachelor Rock,Strait of Juan de Fuca,49,Intermediate,3,Natural Reef,,1
94,9/26/2025,92,Puget Sound,Bachelor Rock,Strait of Juan de Fuca,48,Intermediate,1,Natural Reef,Healthy,2
95,5/9/2022,10,Puget Sound,Bell Island East,San Juan,49,Deep,1,Natural Reef,,0
96,5/9/2022,13,Puget Sound,Bell Island East,San Juan,49,Intermediate,2,Natural Reef,,0
97,5/9/2022,5,Puget Sound,Bell Island East,San Juan,49,Intermediate,3,Natural Reef,,0
98,5/9/2022,5,Puget Sound,Bell Island East,San Juan,49,Shallow,4,Natural Reef,,0
99,5/9/2022,11,Puget Sound,Bell Island East,San Juan,47,Deep,1,Natural Reef,,0
100,5/9/2022,19,Puget Sound,Bell Island East,San Juan,47,Intermediate,2,Natural Reef,,0
101,5/9/2022,3,Puget Sound,Bell Island East,San Juan,47,Shallow,3,Natural Reef,,0
102,8/3/2022,10.5,Puget Sound,Bell Island East,San Juan,53,Deep,1,Natural Reef,,0
103,8/3/2022,10,Puget Sound,Bell Island East,San Juan,53,Intermediate,2,Natural Reef,,0
104,8/3/2022,10,Puget Sound,Bell Island East,San Juan,53,Intermediate,3,Natural Reef,,0
105,8/3/2022,7.5,Puget Sound,Bell Island East,San Juan,53,Shallow,4,Natural Reef,,0
106,8/3/2022,4,Puget Sound,Bell Island East,San Juan,53,Deep,1,Natural Reef,,0
107,8/3/2022,14,Puget Sound,Bell Island East,San Juan,53,Deep,2,Natural Reef,,0
108,8/3/2022,18,Puget Sound,Bell Island East,San Juan,53,Intermediate,3,Natural Reef,,0
109,8/3/2022,4,Puget Sound,Bell Island East,San Juan,53,Shallow,4,Natural Reef,,0
110,8/3/2022,10,Puget Sound,Bell Island East,San Juan,53,Deep,1,Natural Reef,,0
111,8/3/2022,10,Puget Sound,Bell Island East,San Juan,53,Intermediate,2,Natural Reef,,0
112,8/3/2022,10,Puget Sound,Bell Island East,San Juan,53,Intermediate,3,Natural Reef,,0
113,8/3/2022,4,Puget Sound,Bell Island East,San Juan,53,Shallow,4,Natural Reef,,0
114,5/25/2023,7,Puget Sound,Bell Island East,San Juan,49,Deep,1,Natural Reef,,0
115,5/25/2023,15,Puget Sound,Bell Island East,San Juan,49,Intermediate,2,Natural Reef,,0
116,5/25/2023,5,Puget Sound,Bell Island East,San Juan,49,Intermediate,3,Natural Reef,,0
117,5/25/2023,3,Puget Sound,Bell Island East,San Juan,49,Shallow,4,Natural Reef,,0
118,5/25/2023,9,Puget Sound,Bell Island East,San Juan,52,Deep,1,Natural Reef,None present,0
119,5/25/2023,12,Puget Sound,Bell Island East,San Juan,52,Intermediate,2,Natural Reef,None present,0
120,5/25/2023,14,Puget Sound,Bell Island East,San Juan,52,Intermediate,3,Natural Reef,None present,0
121,5/25/2023,3,Puget Sound,Bell Island East,San Juan,52,Shallow,4,Natural Reef,None present,0
122,4/15/2024,10,Puget Sound,Bell Island East,San Juan,49,Intermediate,1,Natural Reef,,0
123,4/15/2024,24,Puget Sound,Bell Island East,San Juan,49,Deep,2,Natural Reef,,0
124,4/15/2024,5,Puget Sound,Bell Island East,San Juan,49,Shallow,3,Natural Reef,,0
125,4/15/2024,18,Puget Sound,Bell Island East,San Juan,49,Deep,1,Natural Reef,,0
126,4/15/2024,14,Puget Sound,Bell Island East,San Juan,49,Intermediate,2,Natural Reef,,0
127,4/15/2024,5,Puget Sound,Bell Island East,San Juan,49,Shallow,3,Natural Reef,,0
128,4/15/2024,10,Puget Sound,Bell Island East,San Juan,49,Intermediate,1,Natural Reef,,0
129,4/15/2024,24,Puget Sound,Bell Island East,San Juan,49,Deep,2,Natural Reef,,0
130,4/15/2024,5,Puget Sound,Bell Island East,San Juan,49,Shallow,3,Natural Reef,,0
131,4/15/2024,18,Puget Sound,Bell Island East,San Juan,49,Deep,1,Natural Reef,,0
132,4/15/2024,14,Puget Sound,Bell Island East,San Juan,49,Intermediate,2,Natural Reef,,0
133,4/15/2024,5,Puget Sound,Bell Island East,San Juan,49,Shallow,3,Natural Reef,,0
134,8/21/2024,8,Puget Sound,Bell Island East,San Juan,53,Deep,1,Natural Reef,,0
135,8/21/2024,10,Puget Sound,Bell Island East,San Juan,53,Intermediate,2,Natural Reef,,0
136,8/21/2024,7,Puget Sound,Bell Island East,San Juan,53,Intermediate,3,Natural Reef,,0
137,8/21/2024,7.5,Puget Sound,Bell Island East,San Juan,53,Shallow,4,Natural Reef,,0
138,8/21/2024,8,Puget Sound,Bell Island East,San Juan,54,Deep,1,Natural Reef,,0
139,8/21/2024,15,Puget Sound,Bell Island East,San Juan,54,Deep,2,Natural Reef,,0
140,8/21/2024,4,Puget Sound,Bell Island East,San Juan,54,Shallow,3,Natural Reef,,0
141,8/21/2024,10,Puget Sound,Bell Island East,San Juan,51,Intermediate,1,Natural Reef,,0
142,8/21/2024,13,Puget Sound,Bell Island East,San Juan,51,Intermediate,2,Natural Reef,,0
143,8/21/2024,6,Puget Sound,Bell Island East,San Juan,51,Intermediate,3,Natural Reef,,0
144,8/21/2024,3,Puget Sound,Bell Island East,San Juan,51,Shallow,4,Natural Reef,,0
145,8/21/2024,6,Puget Sound,Bell Island East,San Juan,51,Intermediate,1,Natural Reef,,0
146,8/21/2024,15,Puget Sound,Bell Island East,San Juan,51,Intermediate,2,Natural Reef,,0
147,8/21/2024,4,Puget Sound,Bell Island East,San Juan,51,Intermediate,3,Natural Reef,,0
148,9/18/2024,50,Puget Sound,Bell Island East,San Juan,51,Intermediate,1,Natural Reef,,0
149,8/4/2025,5,Puget Sound,Bell Island East,San Juan,53,Deep,1,Natural Reef,,0
150,8/4/2025,7,Puget Sound,Bell Island East,San Juan,53,Intermediate,2,Natural Reef,,0
151,8/4/2025,13,Puget Sound,Bell Island East,San Juan,53,Intermediate,3,Natural Reef,,0
152,8/4/2025,8,Puget Sound,Bell Island East,San Juan,53,Shallow,4,Natural Reef,,0
153,8/4/2025,6,Puget Sound,Bell Island East,San Juan,53,Deep,1,Natural Reef,,0
154,8/4/2025,7,Puget Sound,Bell Island East,San Juan,53,Intermediate,2,Natural Reef,,0
155,8/4/2025,13,Puget Sound,Bell Island East,San Juan,53,Intermediate,3,Natural Reef,,0
156,8/4/2025,8,Puget Sound,Bell Island East,San Juan,53,Shallow,4,Natural Reef,,0
157,8/4/2025,21,Puget Sound,Bell Island East,San Juan,53,Intermediate,1,Natural Reef,,0
158,8/4/2025,14,Puget Sound,Bell Island East,San Juan,53,Intermediate,2,Natural Reef,,0
159,8/4/2025,5,Puget Sound,Bell Island East,San Juan,53,Shallow,3,Natural Reef,,0
160,5/10/2022,11,Puget Sound,Bell Island West,San Juan,48,Deep,1,Natural Reef,,0
161,5/10/2022,7.5,Puget Sound,Bell Island West,San Juan,48,Intermediate,2,Natural Reef,,0
162,5/10/2022,5,Puget Sound,Bell Island West,San Juan,48,Intermediate,3,Natural Reef,,0
163,5/10/2022,6,Puget Sound,Bell Island West,San Juan,48,Shallow,4,Natural Reef,,0
164,5/10/2022,12,Puget Sound,Bell Island West,San Juan,47,Deep,1,Natural Reef,,0
165,5/10/2022,6,Puget Sound,Bell Island West,San Juan,47,Intermediate,2,Natural Reef,,0
166,5/10/2022,6,Puget Sound,Bell Island West,San Juan,47,Shallow,3,Natural Reef,,0
167,8/9/2023,5,Puget Sound,Bell Island West,San Juan,54,Deep,1,Natural Reef,,0
168,8/9/2023,6,Puget Sound,Bell Island West,San Juan,54,Deep,2,Natural Reef,,0
169,8/9/2023,4,Puget Sound,Bell Island West,San Juan,54,Intermediate,3,Natural Reef,,0
170,8/9/2023,8,Puget Sound,Bell Island West,San Juan,54,Shallow,4,Natural Reef,,0
171,8/9/2023,5,Puget Sound,Bell Island West,San Juan,54,Deep,1,Natural Reef,,0
172,8/9/2023,6,Puget Sound,Bell Island West,San Juan,54,Deep,2,Natural Reef,,0
173,8/9/2023,4,Puget Sound,Bell Island West,San Juan,54,Intermediate,3,Natural Reef,,0
174,8/9/2023,8,Puget Sound,Bell Island West,San Juan,54,Shallow,4,Natural Reef,,0
175,5/2/2024,10,Puget Sound,Bell Island West,San Juan,47,Deep,1,Natural Reef,,0
176,5/2/2024,7,Puget Sound,Bell Island West,San Juan,47,Deep,2,Natural Reef,,0
177,5/2/2024,10,Puget Sound,Bell Island West,San Juan,47,Intermediate,3,Natural Reef,,0
178,5/2/2024,2,Puget Sound,Bell Island West,San Juan,47,Shallow,4,Natural Reef,,0
179,5/2/2024,10,Puget Sound,Bell Island West,San Juan,47,Deep,1,Natural Reef,,0
180,5/2/2024,10,Puget Sound,Bell Island West,San Juan,47,Deep,2,Natural Reef,,0
181,5/2/2024,5,Puget Sound,Bell Island West,San Juan,47,Intermediate,3,Natural Reef,,0
182,5/2/2024,5,Puget Sound,Bell Island West,San Juan,47,Shallow,4,Natural Reef,,0
183,5/2/2024,10,Puget Sound,Bell Island West,San Juan,47,Deep,1,Natural Reef,,0
184,5/2/2024,10,Puget Sound,Bell Island West,San Juan,47,Deep,2,Natural Reef,,0
185,5/2/2024,5,Puget Sound,Bell Island West,San Juan,47,Intermediate,3,Natural Reef,,0
186,9/18/2024,28,Puget Sound,Bell Island West,San Juan,51,Deep,1,Natural Reef,,0
187,9/18/2024,17,Puget Sound,Bell Island West,San Juan,51,Intermediate,2,Natural Reef,,0
188,9/18/2024,7,Puget Sound,Bell Island West,San Juan,51,Shallow,3,Kelp Forest,,0
189,8/6/2025,16.5,Puget Sound,Bell Island West,San Juan,53,Deep,1,Natural Reef,,0
190,8/6/2025,8,Puget Sound,Bell Island West,San Juan,53,Intermediate,2,Natural Reef,,0
191,8/6/2025,6,Puget Sound,Bell Island West,San Juan,53,Intermediate,3,Natural Reef,,0
192,8/6/2025,3.5,Puget Sound,Bell Island West,San Juan,53,Shallow,4,Natural Reef,,0
193,8/6/2025,14,Puget Sound,Bell Island West,San Juan,53,Deep,1,Natural Reef,,0
194,8/6/2025,14,Puget Sound,Bell Island West,San Juan,53,Intermediate,2,Natural Reef,,0
195,8/6/2025,9,Puget Sound,Bell Island West,San Juan,53,Shallow,3,Natural Reef,,0
196,8/6/2025,14,Puget Sound,Bell Island West,San Juan,53,Deep,1,Natural Reef,,0
197,8/6/2025,9,Puget Sound,Bell Island West,San Juan,53,Deep,2,Natural Reef,,0
198,8/6/2025,4,Puget Sound,Bell Island West,San Juan,53,Intermediate,3,Natural Reef,,0
199,8/6/2025,6,Puget Sound,Bell Island West,San Juan,53,Intermediate,4,Natural Reef,,0
200,8/6/2025,6,Puget Sound,Bell Island West,San Juan,53,Shallow,5,Natural Reef,,0
201,11/17/2025,8,Puget Sound,Bell Island West,San Juan,50,Deep,1,Natural Reef,,0
202,11/17/2025,23,Puget Sound,Bell Island West,San Juan,50,Deep,2,Natural Reef,,0
203,11/17/2025,6,Puget Sound,Bell Island West,San Juan,50,Shallow,3,Natural Reef,,0
204,6/19/2023,5,Puget Sound,Beverly Beach,Whidbey,48,Intermediate,1,Soft Bottom,,12
205,6/19/2023,18,Puget Sound,Beverly Beach,Whidbey,48,Deep,2,Soft Bottom,,13
206,6/19/2023,10,Puget Sound,Beverly Beach,Whidbey,48,Intermediate,3,Soft Bottom,,19
207,6/19/2023,18,Puget Sound,Beverly Beach,Whidbey,48,Shallow,4,Eelgrass,,1
208,7/26/2023,4,Puget Sound,Beverly Beach,Whidbey,48,Intermediate,1,Soft Bottom,,9
209,7/26/2023,17,Puget Sound,Beverly Beach,Whidbey,48,Deep,2,Soft Bottom,,15
210,7/26/2023,21,Puget Sound,Beverly Beach,Whidbey,48,Intermediate,3,Soft Bottom,,20
211,7/26/2023,6,Puget Sound,Beverly Beach,Whidbey,53,Shallow,4,Soft Bottom,,2
212,8/23/2023,9,Puget Sound,Beverly Beach,Whidbey,63,Shallow,1,Eelgrass,,0
213,8/23/2023,7,Puget Sound,Beverly Beach,Whidbey,52,Intermediate,2,Soft Bottom,,10
214,8/23/2023,15,Puget Sound,Beverly Beach,Whidbey,49,Deep,3,Soft Bottom,,13
215,8/23/2023,6,Puget Sound,Beverly Beach,Whidbey,52,Intermediate,4,Soft Bottom,,6
216,8/23/2023,25,Puget Sound,Beverly Beach,Whidbey,52,Shallow,5,Eelgrass,,0
217,10/18/2023,9,Puget Sound,Beverly Beach,Whidbey,51,Intermediate,1,Soft Bottom,,3
218,10/18/2023,21,Puget Sound,Beverly Beach,Whidbey,51,Deep,2,Soft Bottom,,13
219,10/18/2023,7,Puget Sound,Beverly Beach,Whidbey,51,Intermediate,3,Soft Bottom,,4
220,10/18/2023,14,Puget Sound,Beverly Beach,Whidbey,53,Shallow,4,Eelgrass,,0
221,1/26/2024,14,Puget Sound,Beverly Beach,Whidbey,46,Intermediate,1,Soft Bottom,,4
222,1/26/2024,13,Puget Sound,Beverly Beach,Whidbey,48,Deep,2,Soft Bottom,,6
223,1/26/2024,11,Puget Sound,Beverly Beach,Whidbey,48,Intermediate,3,Soft Bottom,,1
224,1/26/2024,17,Puget Sound,Beverly Beach,Whidbey,46,Shallow,4,Eelgrass,,4
225,6/13/2024,5,Puget Sound,Beverly Beach,Whidbey,48,Intermediate,1,Soft Bottom,,8
226,6/13/2024,25,Puget Sound,Beverly Beach,Whidbey,48,Deep,2,Soft Bottom,,26
227,6/13/2024,14,Puget Sound,Beverly Beach,Whidbey,48,Intermediate,3,Soft Bottom,1 sick,22
228,6/13/2024,6,Puget Sound,Beverly Beach,Whidbey,57,Shallow,4,Eelgrass,,7
229,9/5/2024,3,Puget Sound,Beverly Beach,Whidbey,51,Shallow,1,Soft Bottom,,0
230,9/5/2024,6,Puget Sound,Beverly Beach,Whidbey,51,Intermediate,2,Soft Bottom,,6
231,9/5/2024,22,Puget Sound,Beverly Beach,Whidbey,51,Deep,3,Soft Bottom,,18
232,9/5/2024,7,Puget Sound,Beverly Beach,Whidbey,51,Intermediate,4,Soft Bottom,,9
233,9/5/2024,27,Puget Sound,Beverly Beach,Whidbey,65,Shallow,5,Soft Bottom,,1
234,2/28/2025,3,Puget Sound,Beverly Beach,Whidbey,46,Shallow,1,Soft Bottom,,0
235,2/28/2025,10,Puget Sound,Beverly Beach,Whidbey,46,Intermediate,2,Soft Bottom,,7
236,2/28/2025,18,Puget Sound,Beverly Beach,Whidbey,46,Deep,3,Soft Bottom,,4
237,2/28/2025,6,Puget Sound,Beverly Beach,Whidbey,46,Intermediate,4,Soft Bottom,,4
238,2/28/2025,21,Puget Sound,Beverly Beach,Whidbey,46,Shallow,5,Eelgrass,,13
239,3/6/2025,7,Puget Sound,Beverly Beach,Whidbey,47,Shallow,1,Eelgrass,,6
240,3/6/2025,5,Puget Sound,Beverly Beach,Whidbey,47,Intermediate,2,Soft Bottom,,5
241,3/6/2025,24,Puget Sound,Beverly Beach,Whidbey,47,Deep,3,Soft Bottom,,11
242,3/6/2025,12,Puget Sound,Beverly Beach,Whidbey,47,Intermediate,4,Soft Bottom,,8
243,3/6/2025,6,Puget Sound,Beverly Beach,Whidbey,47,Shallow,5,Eelgrass,,1
244,4/18/2025,7,Puget Sound,Beverly Beach,Whidbey,46,Intermediate,1,Soft Bottom,,7
245,4/18/2025,20,Puget Sound,Beverly Beach,Whidbey,46,Deep,2,Soft Bottom,,15
246,4/18/2025,10,Puget Sound,Beverly Beach,Whidbey,46,Intermediate,3,Soft Bottom,,9
247,4/18/2025,9,Puget Sound,Beverly Beach,Whidbey,46,Shallow,4,Eelgrass,,0
248,8/20/2025,9,Puget Sound,Beverly Beach,Whidbey,51,Intermediate,1,Soft Bottom,,12
249,8/20/2025,20,Puget Sound,Beverly Beach,Whidbey,50,Deep,2,Soft Bottom,,15
250,8/20/2025,9,Puget Sound,Beverly Beach,Whidbey,51,Intermediate,3,Soft Bottom,,15
251,8/29/2025,12,Puget Sound,Beverly Beach,Whidbey,50,Intermediate,1,Soft Bottom,,13
252,8/29/2025,20,Puget Sound,Beverly Beach,Whidbey,50,Deep,2,Soft Bottom,,15
253,8/29/2025,5,Puget Sound,Beverly Beach,Whidbey,50,Intermediate,3,Soft Bottom,,5
254,8/29/2025,10,Puget Sound,Beverly Beach,Whidbey,64,Shallow,4,Soft Bottom,,1
255,9/12/2025,5,Puget Sound,Beverly Beach,Whidbey,,Intermediate,1,Soft Bottom,One was very sick,4
256,9/12/2025,27,Puget Sound,Beverly Beach,Whidbey,,Deep,2,Soft Bottom,all apeared health,21
257,9/12/2025,4,Puget Sound,Beverly Beach,Whidbey,,Intermediate,3,Soft Bottom,Saw one dead star(Not counted),4
258,9/12/2025,12,Puget Sound,Beverly Beach,Whidbey,,Shallow,5,Eelgrass,,1
259,10/11/2025,7,Puget Sound,Beverly Beach,Whidbey,53,Shallow,1,Eelgrass,,4
260,10/11/2025,11,Puget Sound,Beverly Beach,Whidbey,51,Intermediate,2,Soft Bottom,,5
261,10/11/2025,16,Puget Sound,Beverly Beach,Whidbey,51,Deep,3,Soft Bottom,,6
262,10/11/2025,8,Puget Sound,Beverly Beach,Whidbey,51,Intermediate,4,Soft Bottom,,3
263,10/11/2025,12,Puget Sound,Beverly Beach,Whidbey,53,Shallow,5,Eelgrass,,6
264,10/31/2025,7,Puget Sound,Beverly Beach,Whidbey,51,Intermediate,1,Soft Bottom,,3
265,10/31/2025,19,Puget Sound,Beverly Beach,Whidbey,51,Deep,2,Soft Bottom,,6
266,10/31/2025,18,Puget Sound,Beverly Beach,Whidbey,51,Intermediate,3,Soft Bottom,,6
267,10/31/2025,22,Puget Sound,Beverly Beach,Whidbey,51,Shallow,4,Eelgrass,,2
268,11/10/2025,7,Puget Sound,Beverly Beach,Whidbey,51,Intermediate,1,Soft Bottom,1 appears to have beginning of wasting disease. I will forward photos,4
269,11/10/2025,23,Puget Sound,Beverly Beach,Whidbey,51,Deep,2,Soft Bottom,,1
270,11/10/2025,8,Puget Sound,Beverly Beach,Whidbey,51,Intermediate,3,Soft Bottom,,7
271,11/10/2025,15,Puget Sound,Beverly Beach,Whidbey,50,Shallow,4,Eelgrass,1 Appeared to be sick,4
