SiteName,HabitatRichness,HabitatsPerTransect,ShannonDiversity,SimpsonDiversity,HabitatsPresent,MeanEncounterRate,TotalPycnoCount,HasDetection,NRecords,NTransectLocations,NSurveyDates,TotalSurveyTime,HasEelgrass,SiteType
Fox Island East Wall,1,0.25,-0.0,0.0,Natural Reef,0.0,0,False,43,4,4,440.0,False,Single-Habitat
Fox Island West Wall,3,0.5,0.9974466402633786,0.6019441989647771,"Eelgrass, Natural Reef, Soft Bottom",0.12359550561797752,2,True,89,6,17,699.5,True,Multi-Habitat
Freeland Park,2,0.3333333333333333,0.5561490267096183,0.3693827160493828,"Eelgrass, Soft Bottom",8.677779380069387,176,True,90,6,22,1188.0,True,Multi-Habitat
Freshwater Bay,4,1.0,0.9450230556973246,0.49586776859504134,"Eelgrass, Kelp Forest, Natural Reef, Soft Bottom",2.958133971291866,12,True,22,4,5,299.5,True,Multi-Habitat
Friday Harbor Reef,1,0.25,-0.0,0.0,Natural Reef,0.0,0,False,30,4,3,299.0,False,Single-Habitat
Frost Island North Point,1,1.0,-0.0,0.0,Natural Reef,0.0,0,False,1,1,1,95.0,False,Single-Habitat
Fulton Creek,2,1.0,0.5623351446188083,0.375,"Natural Reef, Soft Bottom",3.2714285714285714,5,True,4,2,1,86.0,False,Multi-Habitat
Gangsta's Paradise,1,0.25,-0.0,0.0,Natural Reef,0.0,0,False,4,4,1,30.0,False,Single-Habitat
Gardiner Boat Ramp,1,0.5,-0.0,0.0,Soft Bottom,0.0,0,False,2,2,1,50.0,False,Single-Habitat
Glen Ayr Ravine,1,1.0,-0.0,0.0,Soft Bottom,0.0,0,False,1,1,1,10.0,False,Single-Habitat
Goby Garden,1,1.0,-0.0,0.0,Natural Reef,4.615384615384616,2,True,1,1,1,26.0,False,Single-Habitat
Gooseneck Grotto,1,0.25,-0.0,0.0,Natural Reef,0.0,0,False,4,4,1,39.5,False,Single-Habitat
Halkett Wall,2,0.5,0.4659992569610426,0.2906574394463668,"Natural Reef, Sponge Garden",0.0,0,False,17,4,1,187.0,False,Multi-Habitat
Hat Island Cloud Sponges,1,1.0,-0.0,0.0,Natural Reef,0.0,0,False,6,1,3,157.0,False,Single-Habitat
Hat Island Ledge,2,0.6666666666666666,0.6365141682948128,0.4444444444444444,"Eelgrass, Soft Bottom",9.659090909090908,6,True,6,3,1,48.0,True,Multi-Habitat
Holmes Harbor,2,0.2857142857142857,0.5382674532283414,0.35329861111111116,"Eelgrass, Soft Bottom",25.589379533506854,301,True,48,7,12,646.0,True,Multi-Habitat
Hutt Rock,1,0.2,-0.0,0.0,Natural Reef,1.3333333333333333,1,True,15,5,2,164.5,False,Single-Habitat
Jones Island,1,0.25,-0.0,0.0,Natural Reef,0.47619047619047616,1,True,18,4,2,167.5,False,Single-Habitat
Jorsted Creek,2,0.5,0.30463609734923813,0.16528925619834722,"Natural Reef, Soft Bottom",1.077922077922078,3,True,11,4,2,170.0,False,Multi-Habitat
KVI Tower,4,0.6666666666666666,1.1709941543970064,0.6234883095941951,"Artificial Reef, Eelgrass, Natural Reef, Soft Bottom",0.2076502732240437,2,True,61,6,8,608.5,True,Multi-Habitat
Kat's Corner,2,0.5,0.45056120886630463,0.2777777777777777,"Natural Reef, Soft Bottom",0.0,0,False,6,4,1,55.0,False,Multi-Habitat
Kellet's Bluff,2,0.4,0.5402041423888608,0.3550295857988165,"Kelp Forest, Natural Reef",0.0,0,False,13,5,1,80.5,False,Multi-Habitat
Kelvin Grove,1,0.5,-0.0,0.0,Natural Reef,0.0,0,False,2,2,1,60.0,False,Single-Habitat
Keystone Jetty,4,0.6666666666666666,0.6500137372326225,0.35814866112650035,"Artificial Reef, Kelp Forest, Natural Reef, Soft Bottom",0.6004280065370105,26,True,228,6,52,3656.5,False,Multi-Habitat
Keystone Jetty - Pilings,1,0.3333333333333333,-0.0,0.0,Artificial Reef,0.0,0,False,3,3,1,37.0,False,Single-Habitat
Kydaka Point,2,2.0,0.6931471805599453,0.5,"Natural Reef, Soft Bottom",2.594059405940594,4,True,2,1,2,131.0,False,Multi-Habitat
Langley Tire Reef,3,0.5,0.7255958280345439,0.4826005695977216,"Artificial Reef, Eelgrass, Soft Bottom",14.81692468691044,841,True,212,6,64,3689.5,True,Multi-Habitat
Larry's Lair,3,0.6,0.5268246641512169,0.3009943563558183,"Eelgrass, Natural Reef, Soft Bottom",0.0,0,False,61,5,6,518.5,True,Multi-Habitat
Les Davis Marine Park,4,0.5714285714285714,1.2316826555799516,0.6660510926438905,"Artificial Reef, Eelgrass, Natural Reef, Soft Bottom",0.10526315789473684,1,True,57,7,20,644.0,True,Multi-Habitat
Lime Kiln,2,0.6666666666666666,0.410116318288409,0.24489795918367352,"Kelp Forest, Natural Reef",0.0,0,False,7,3,1,63.0,False,Multi-Habitat
Lobster Shop Wall,4,0.6666666666666666,1.0838912175911286,0.6247933884297521,"Artificial Reef, Eelgrass, Natural Reef, Soft Bottom",0.0,0,False,55,6,5,424.5,True,Multi-Habitat
Lowman Beach Park,3,0.75,0.9556998911125343,0.5714285714285714,"Artificial Reef, Eelgrass, Soft Bottom",0.0,0,False,7,4,1,36.5,True,Multi-Habitat
Lucan Chute,1,0.5,-0.0,0.0,Natural Reef,3.0,1,True,2,2,1,18.0,False,Single-Habitat
Madrona Point,3,0.75,1.0397207708399179,0.625,"Eelgrass, Natural Reef, Soft Bottom",5.7272727272727275,3,True,4,4,1,28.0,True,Multi-Habitat
Maury Island Barges,4,1.0,0.7549967581308246,0.3673469387755104,"Artificial Reef, Eelgrass, Natural Reef, Soft Bottom",0.0,0,False,14,4,4,215.0,True,Multi-Habitat
Mike's Beach Resort,1,1.0,-0.0,0.0,Artificial Reef,6.0,3,True,1,1,1,30.0,False,Single-Habitat
Mukilteo Lighthouse,3,0.6,1.000806445407692,0.5992899408284024,"Eelgrass, Natural Reef, Soft Bottom",0.4932844932844933,5,True,65,5,16,704.5,True,Multi-Habitat
Mukilteo T-Dock,3,0.5,0.6355815009421306,0.3470248014900499,"Artificial Reef, Natural Reef, Soft Bottom",0.07637906647807638,2,True,101,6,30,1303.0,False,Multi-Habitat
Norrander's,2,0.4,0.6581099875431143,0.46537396121883656,"Natural Reef, Soft Bottom",0.0,0,False,57,5,7,413.0,False,Multi-Habitat
North Beach,3,0.75,0.8921178708188162,0.520408163265306,"Eelgrass, Natural Reef, Soft Bottom",0.0,0,False,14,4,3,172.0,True,Multi-Habitat
Northwest Island,3,0.5,0.36178753278517783,0.1719848566792862,"Kelp Forest, Natural Reef, Soft Bottom",0.0,0,False,43,6,7,439.0,False,Multi-Habitat
O'Neal Island,1,0.25,-0.0,0.0,Natural Reef,0.4411764705882353,4,True,17,4,3,188.0,False,Single-Habitat
Octopus Hole,3,0.75,0.5127451411984595,0.295785931741708,"Kelp Forest, Natural Reef, Soft Bottom",2.867933671358839,43,True,79,4,15,911.0,False,Multi-Habitat
Odlin County Park,1,1.0,-0.0,0.0,Soft Bottom,0.0,0,False,1,1,1,30.0,False,Single-Habitat
Owen Beach,1,0.25,-0.0,0.0,Soft Bottom,1.6,2,True,15,4,6,99.0,False,Single-Habitat
Passage Island,2,0.5,0.16302362949436594,0.07396449704142016,"Natural Reef, Soft Bottom",0.32967032967032966,2,True,26,4,3,350.0,False,Multi-Habitat
Pile Point,2,0.4,0.3856820405687198,0.22565157750342935,"Kelp Forest, Natural Reef",0.0,0,False,54,5,5,513.0,False,Multi-Habitat
Point Caution,1,0.3333333333333333,-0.0,0.0,Natural Reef,0.0,0,False,5,3,2,68.0,False,Single-Habitat
Point Dalco,1,1.0,-0.0,0.0,Kelp Forest,0.0,0,False,1,1,1,17.0,False,Single-Habitat
Point Defiance North Wall,2,0.5,0.6829081047004717,0.48979591836734704,"Natural Reef, Soft Bottom",0.0,0,False,7,4,2,117.0,False,Multi-Habitat
Point Defiance West Kelp Beds,1,0.25,-0.0,0.0,Kelp Forest,0.0,0,False,4,4,1,57.0,False,Single-Habitat
Point George,1,0.3333333333333333,-0.0,0.0,Natural Reef,0.0,0,False,4,3,1,28.0,False,Single-Habitat
Point Hudson,4,0.8,0.5493041401268874,0.25701530612244905,"Artificial Reef, Eelgrass, Natural Reef, Soft Bottom",0.6026785714285714,4,True,56,5,10,508.5,True,Multi-Habitat
Point Ruston,3,0.6,0.9235207030747401,0.54474505723205,"Artificial Reef, Natural Reef, Soft Bottom",0.08064516129032258,3,True,62,5,7,874.0,False,Multi-Habitat
Point Whitney Shellfish Lab,3,0.42857142857142855,0.8312083403483335,0.536716647443291,"Artificial Reef, Eelgrass, Soft Bottom",1.5126050420168067,7,True,51,7,14,501.0,True,Multi-Habitat
Posession point ferry (Kehloken),1,1.0,-0.0,0.0,Artificial Reef,10.0,1,True,1,1,1,6.0,False,Single-Habitat
Possession Point Fingers,3,0.6,0.5466104112971824,0.301299808225016,"Artificial Reef, Natural Reef, Soft Bottom",0.005398110661268557,1,True,247,5,32,3668.0,False,Multi-Habitat
Potlatch State Park,1,0.5,-0.0,0.0,Soft Bottom,12.502842779340474,38,True,7,2,4,186.0,False,Single-Habitat
Pulali Point,1,0.5,-0.0,0.0,Natural Reef,3.8095238095238093,2,True,2,2,1,32.0,False,Single-Habitat
Pulali Point West Wall,2,0.4,0.5004024235381879,0.31999999999999984,"Natural Reef, Soft Bottom",3.6666666666666665,3,True,5,5,1,46.0,False,Multi-Habitat
Redondo Beach,2,0.18181818181818182,0.6859298002523728,0.4927999999999999,"Artificial Reef, Soft Bottom",0.12,1,True,50,11,16,744.0,False,Multi-Habitat
Rock of Life,2,0.5,0.5623351446188083,0.375,"Kelp Forest, Natural Reef",0.0,0,False,4,4,1,32.0,False,Multi-Habitat
Rosario - Orcas,1,0.5,-0.0,0.0,Natural Reef,0.16806722689075632,1,True,7,2,3,191.0,False,Single-Habitat
Rosario Beach Urchin Rocks,3,0.75,0.7802156202916117,0.43757431629013077,"Kelp Forest, Natural Reef, Soft Bottom",0.08995502248875563,2,True,58,4,10,960.0,False,Multi-Habitat
Rosario Head,2,0.6666666666666666,0.6365141682948128,0.4444444444444444,"Kelp Forest, Natural Reef",0.0,0,False,6,3,1,86.0,False,Multi-Habitat
Rosie's Ravine,1,1.0,-0.0,0.0,Natural Reef,9.333333333333334,5,True,3,1,2,35.0,False,Single-Habitat
SE Young Isalnd,1,0.5,-0.0,0.0,Natural Reef,0.0,0,False,2,2,1,43.0,False,Single-Habitat
Salt Creek,2,0.5,0.6730116670092565,0.48,"Kelp Forest, Natural Reef",6.0,10,True,10,4,3,209.0,False,Multi-Habitat
Saltwater State Park,4,0.5714285714285714,0.6775075605137757,0.3297588962502561,"Artificial Reef, Eelgrass, Natural Reef, Soft Bottom",0.019071837253655438,1,True,121,7,26,1313.5,True,Multi-Habitat
Sares Head,1,0.3333333333333333,-0.0,0.0,Natural Reef,0.0,0,False,3,3,1,42.0,False,Single-Habitat
Scenic Beach State Park,2,1.0,0.2640520518256287,0.13717421124828522,"Eelgrass, Soft Bottom",13.193203189935216,75,True,27,2,4,368.0,True,Multi-Habitat
Seabeck Bay,1,1.0,-0.0,0.0,Eelgrass,0.0,0,False,1,1,1,7.0,True,Single-Habitat
Sekiu,4,0.5,1.135627289372246,0.625,"Eelgrass, Kelp Forest, Natural Reef, Soft Bottom",2.999304495589063,59,True,60,8,7,988.0,True,Multi-Habitat
Sekiu Outer Reef,1,1.0,-0.0,0.0,Natural Reef,1.153846153846154,2,True,1,1,1,104.0,False,Single-Habitat
Seven Tree Island,2,0.5,0.5623351446188083,0.375,"Kelp Forest, Natural Reef",0.0,0,False,4,4,1,32.0,False,Multi-Habitat
Shirttail Reef,2,0.4,0.37677016125643675,0.21875,"Natural Reef, Soft Bottom",0.0,0,False,8,5,1,67.0,False,Multi-Habitat
Skyline,4,0.8,0.9136915908504257,0.4715744551135498,"Eelgrass, Kelp Forest, Natural Reef, Soft Bottom",0.0,0,False,81,5,10,874.5,True,Multi-Habitat
Smith Island,2,1.0,0.6365141682948128,0.4444444444444444,"Kelp Forest, Natural Reef",0.0,0,False,6,2,1,151.0,False,Multi-Habitat
South Hat Island,1,1.0,-0.0,0.0,Natural Reef,1.3793103448275863,2,True,3,1,1,68.0,False,Single-Habitat
Strawberry Falls,1,0.25,-0.0,0.0,Natural Reef,0.0,0,False,4,4,1,53.0,False,Single-Habitat
Sucia Island - Lawson's Bluff,2,0.4,0.2972291111958708,0.16004924592182213,"Kelp Forest, Natural Reef",0.07518796992481203,1,True,57,5,5,506.0,False,Multi-Habitat
Sund Rock,3,0.2727272727272727,0.7201463789716557,0.430285196921684,"Artificial Reef, Natural Reef, Soft Bottom",3.7247811673602533,66,True,94,11,14,967.5,False,Multi-Habitat
Sund Rock North,3,0.5,0.5894010032646803,0.3086734693877553,"Artificial Reef, Natural Reef, Soft Bottom",1.7857142857142858,6,True,28,6,3,231.0,False,Multi-Habitat
Sund Rock South,2,0.4,0.2640520518256287,0.13717421124828522,"Natural Reef, Soft Bottom",1.7411557215478783,16,True,27,5,4,336.5,False,Multi-Habitat
Sunnyside Beach Park,3,0.5,1.042930728598392,0.6279814880740477,"Artificial Reef, Eelgrass, Soft Bottom",0.0,0,False,53,6,5,504.5,True,Multi-Habitat
Sunrise Beach State Park,2,0.6666666666666666,0.5859526183035508,0.39669421487603307,"Natural Reef, Soft Bottom",0.0,0,False,22,3,6,445.0,False,Multi-Habitat
Tacoma Narrows,3,0.75,1.0397207708399179,0.625,"Artificial Reef, Natural Reef, Soft Bottom",0.0,0,False,4,4,1,31.0,False,Multi-Habitat
Tacoma Narrows - Point Evans,1,1.0,-0.0,0.0,Natural Reef,0.0,0,False,1,1,1,37.0,False,Single-Habitat
The Pinnacle,1,1.0,-0.0,0.0,Natural Reef,9.6,4,True,1,1,1,25.0,False,Single-Habitat
Three Tree Point,2,0.5,0.6791932659915256,0.48611111111111105,"Artificial Reef, Soft Bottom",0.0,0,False,24,4,4,386.0,False,Multi-Habitat
Titlow Beach Park,4,1.0,0.7488301400472326,0.39280000000000004,"Eelgrass, Kelp Forest, Natural Reef, Soft Bottom",0.10285714285714287,3,True,50,4,15,873.0,True,Multi-Habitat
Triton Cove,3,0.6,0.7360355842955243,0.45947265625,"Eelgrass, Natural Reef, Soft Bottom",4.773838358149684,59,True,64,5,14,801.0,True,Multi-Habitat
Triton Head,1,0.5,-0.0,0.0,Natural Reef,9.362787668258793,10,True,4,2,1,112.0,False,Single-Habitat
Unknown Site,1,0.5,-0.0,0.0,Kelp Forest,3.333333333333333,2,True,2,2,1,31.5,False,Single-Habitat
Upright Head South,1,1.0,-0.0,0.0,Natural Reef,0.0,0,False,1,1,1,65.0,False,Single-Habitat
Vertical barge ISM 425,1,0.5,-0.0,0.0,Artificial Reef,0.0,0,False,2,2,1,52.0,False,Single-Habitat
Whytecliff,3,0.6,0.7091152575824363,0.3900226757369615,"Eelgrass, Natural Reef, Sponge Garden",0.0,0,False,21,5,2,229.0,True,Multi-Habitat
Wreck of the Ranger,3,0.75,0.8568409950394724,0.5049999999999999,"Artificial Reef, Eelgrass, Soft Bottom",0.9,3,True,20,4,2,276.0,True,Multi-Habitat
Z's Reef,3,1.0,0.639031859650177,0.33999999999999986,"Eelgrass, Natural Reef, Soft Bottom",0.0,0,False,20,3,8,567.0,True,Multi-Habitat
