SiteName,TotalPycno,MeanCount,MeanEncounterRate,TotalSurveyTime,NSurveyDates,FirstSurvey,LastSurvey,HasEelgrass,Basin,NTransects,DetectionRate,SurveyHours,Lat,Long
Deception Pass,0,0.0,0.0,70.0,1,2023-04-28,2023-04-28,False,San Juan,4,0.0,1.1666666666666667,48.405541,-122.64517
Dickman Mill,0,0.0,0.0,158.0,2,2023-10-29,2024-04-17,False,Central,7,0.0,2.6333333333333333,47.278304,-122.471
Driftwood Park,6,0.1875,0.20476973684210525,1182.0,23,2023-05-18,2025-12-31,False,Admiralty Inlet,32,0.09375,19.7,48.162897,-122.637203
Eagle Point,5,0.07352941176470588,0.34155132641291813,683.5,7,2022-08-02,2025-08-04,False,San Juan,68,0.058823529411764705,11.391666666666667,48.458027,-123.036267
Ediz Hook Log Pile,79,1.4107142857142858,3.9018528204318477,718.0,11,2023-07-25,2025-09-13,True,Strait of Juan de Fuca,56,0.39285714285714285,11.966666666666667,48.141211,-123.436541
Ediz Hook RockPile,50,1.2820512820512822,7.922914692145461,412.0,5,2022-02-22,2024-04-30,True,Strait of Juan de Fuca,39,0.358974358974359,6.866666666666666,48.140197,-123.422831
Edmonds Underwater Park,6,0.06451612903225806,0.6513056835637481,1345.0,17,2022-04-23,2025-12-18,True,Central,93,0.03225806451612903,22.416666666666668,47.815161,-122.382522
Edmonds Underwater Park Pipeline,1,0.02631578947368421,0.15789473684210525,365.5,9,2022-10-17,2025-08-03,True,Central,38,0.02631578947368421,6.091666666666667,47.812101,-122.389429
Elephant Wall,0,0.0,0.0,49.0,1,2023-03-19,2023-03-19,False,Hood Canal,2,0.0,0.8166666666666667,47.562416,-123.017743
Enchanted Forest,0,0.0,0.0,329.0,3,2024-10-06,2025-10-15,False,Howe Sound,35,0.0,5.483333333333333,49.422304,-123.410877
Flagpole Point,36,0.5142857142857142,4.334433773509404,607.5,6,2022-10-19,2025-08-07,False,Hood Canal,70,0.24285714285714285,10.125,47.564755,-123.01436
Flattop Island,0,0.0,0.0,226.0,3,2023-08-08,2025-08-05,False,San Juan,25,0.0,3.7666666666666666,,
Fort Worden,1,0.2,0.19672131147540986,177.0,2,2023-07-29,2023-08-06,False,Admiralty Inlet,5,0.2,2.95,48.136638,-122.760193
Foulweather Bluff,0,0.0,0.0,75.0,2,2024-08-11,2024-08-13,False,Hood Canal,8,0.0,1.25,47.941083,-122.6012
Fox Island East Wall,0,0.0,0.0,440.0,4,2022-08-01,2024-10-08,False,South,43,0.0,7.333333333333333,47.228514,-122.589606
Fox Island West Wall,2,0.02247191011235955,0.12359550561797752,699.5,17,2022-10-17,2025-07-23,True,South,89,0.02247191011235955,11.658333333333333,47.239321,-122.632894
Freeland Park,176,1.9555555555555555,8.677779380069389,1188.0,22,2024-12-30,2025-12-10,True,Whidbey,90,0.6666666666666666,19.8,48.016187,-122.529818
Freshwater Bay,12,0.5454545454545454,2.958133971291866,299.5,5,2023-02-28,2025-05-08,True,Strait of Juan de Fuca,22,0.2727272727272727,4.991666666666666,48.15063,-123.636083
Friday Harbor Reef,0,0.0,0.0,299.0,3,2023-05-24,2025-05-06,False,San Juan,30,0.0,4.983333333333333,48.549823,-123.005027
Frost Island North Point,0,0.0,0.0,95.0,1,2025-08-03,2025-08-03,False,San Juan,1,0.0,1.5833333333333333,,
Fulton Creek,5,1.25,3.2714285714285714,86.0,1,2023-07-22,2023-07-22,False,Hood Canal,4,0.75,1.4333333333333333,47.617983,-122.968183
Gangsta's Paradise,0,0.0,0.0,30.0,1,2025-09-13,2025-09-13,False,Queen Charlotte Strait,4,0.0,0.5,,
Gardiner Boat Ramp,0,0.0,0.0,50.0,1,2025-01-07,2025-01-07,False,Strait of Juan de Fuca,2,0.0,0.8333333333333334,,
Glen Ayr Ravine,0,0.0,0.0,10.0,1,2023-08-31,2023-08-31,False,Hood Canal,1,0.0,0.16666666666666666,47.419888,-123.129494
Goby Garden,2,2.0,4.615384615384616,26.0,1,2022-06-29,2022-06-29,False,Hood Canal,1,1.0,0.43333333333333335,47.63058,-122.942265
Gooseneck Grotto,0,0.0,0.0,39.5,1,2025-09-12,2025-09-12,False,Queen Charlotte Strait,4,0.0,0.6583333333333333,,
Halkett Wall,0,0.0,0.0,187.0,1,2025-10-15,2025-10-15,False,Howe Sound,17,0.0,3.1166666666666667,,
Hat Island Cloud Sponges,0,0.0,0.0,157.0,3,2024-05-19,2024-12-29,False,Whidbey,6,0.0,2.6166666666666667,,
Hat Island Ledge,6,1.0,9.659090909090908,48.0,1,2022-05-06,2022-05-06,True,Whidbey,6,0.6666666666666666,0.8,48.007259,-122.298823
Holmes Harbor,301,6.270833333333333,25.589379533506857,646.0,12,2023-05-16,2024-05-03,True,Whidbey,48,0.6666666666666666,10.766666666666667,48.017692,-122.53879
Hutt Rock,1,0.06666666666666667,1.3333333333333333,164.5,2,2024-10-06,2025-02-09,False,Howe Sound,15,0.06666666666666667,2.7416666666666667,,
Jones Island,1,0.05555555555555555,0.47619047619047616,167.5,2,2022-05-09,2022-08-02,False,San Juan,18,0.05555555555555555,2.7916666666666665,48.617667,-123.040383
Jorsted Creek,3,0.2727272727272727,1.077922077922078,170.0,2,2023-03-19,2024-04-27,False,Hood Canal,11,0.2727272727272727,2.8333333333333335,47.522325,-123.048584
KVI Tower,2,0.03278688524590164,0.2076502732240437,608.5,8,2022-10-16,2025-10-12,True,Central,61,0.03278688524590164,10.141666666666667,47.420837,-122.429911
Kat's Corner,0,0.0,0.0,55.0,1,2023-07-22,2023-07-22,False,Hood Canal,6,0.0,0.9166666666666666,47.416943,-123.130313
Kellet's Bluff,0,0.0,0.0,80.5,1,2024-05-01,2024-05-01,False,San Juan,13,0.0,1.3416666666666666,48.590498,-123.202768
Kelvin Grove,0,0.0,0.0,60.0,1,2025-10-16,2025-10-16,False,Howe Sound,2,0.0,1.0,,
Keystone Jetty,26,0.11403508771929824,0.6004280065370106,3656.5,52,2022-05-08,2025-12-25,False,Admiralty Inlet,228,0.07017543859649122,60.94166666666667,48.156876,-122.67077
Keystone Jetty - Pilings,0,0.0,0.0,37.0,1,2023-04-01,2023-04-01,False,Admiralty Inlet,3,0.0,0.6166666666666667,48.157998,-122.668452
Kydaka Point,4,2.0,2.594059405940594,131.0,2,2025-08-16,2025-09-27,False,Strait of Juan de Fuca,2,1.0,2.183333333333333,,
Langley Tire Reef,841,3.9669811320754715,14.81692468691044,3689.5,64,2023-03-31,2025-12-30,True,Whidbey,212,0.6084905660377359,61.49166666666667,48.03919,-122.402904
Larry's Lair,0,0.0,0.0,518.5,6,2022-08-03,2025-08-05,True,San Juan,61,0.0,8.641666666666667,48.526141,-122.972398
Les Davis Marine Park,1,0.017543859649122806,0.10526315789473684,644.0,20,2023-07-12,2025-05-21,True,Central,57,0.017543859649122806,10.733333333333333,47.2842,-122.48315
Lime Kiln,0,0.0,0.0,63.0,1,2023-08-07,2023-08-07,False,San Juan,7,0.0,1.05,48.515401,-123.152515
Lobster Shop Wall,0,0.0,0.0,424.5,5,2022-08-01,2025-08-02,True,Central,55,0.0,7.075,47.288135,-122.489
Lowman Beach Park,0,0.0,0.0,36.5,1,2024-04-28,2024-04-28,True,Central,7,0.0,0.6083333333333333,47.540152,-122.397713
Lucan Chute,1,0.5,3.0,18.0,1,2025-09-14,2025-09-14,False,Queen Charlotte Strait,2,0.5,0.3,,
Madrona Point,3,0.75,5.7272727272727275,28.0,1,2025-09-11,2025-09-11,True,Strait of Georgia,4,0.5,0.4666666666666667,,
Maury Island Barges,0,0.0,0.0,215.0,4,2023-06-25,2025-05-11,True,Central,14,0.0,3.5833333333333335,47.362792,-122.439769
Mike's Beach Resort,3,3.0,6.0,30.0,1,2025-08-07,2025-08-07,False,Hood Canal,1,1.0,0.5,47.569882,-123.012899
Mukilteo Lighthouse,5,0.07692307692307693,0.4932844932844933,704.5,16,2022-11-12,2025-10-05,True,Whidbey,65,0.06153846153846154,11.741666666666667,47.94664,-122.309245
Mukilteo T-Dock,2,0.019801980198019802,0.07637906647807638,1303.0,30,2022-03-24,2025-11-13,False,Whidbey,101,0.019801980198019802,21.716666666666665,47.950451,-122.299001
Norrander's,0,0.0,0.0,413.0,7,2022-05-07,2025-02-12,False,Central,57,0.0,6.883333333333334,47.60568,-122.497408
North Beach,0,0.0,0.0,172.0,3,2022-05-07,2023-08-06,True,Admiralty Inlet,14,0.0,2.8666666666666667,48.14372132,-122.7801511
Northwest Island,0,0.0,0.0,439.0,7,2023-05-23,2025-10-13,False,San Juan,43,0.0,7.316666666666666,48.41883,-122.67067
O'Neal Island,4,0.23529411764705882,0.4411764705882353,188.0,3,2023-07-25,2025-07-02,False,San Juan,17,0.11764705882352941,3.1333333333333333,48.604259,-123.09296
Octopus Hole,43,0.5443037974683544,2.867933671358839,911.0,15,2022-10-19,2025-10-14,False,Hood Canal,79,0.22784810126582278,15.183333333333334,47.447568,-123.112392
Odlin County Park,0,0.0,0.0,30.0,1,2025-08-03,2025-08-03,False,San Juan,1,0.0,0.5,,
Owen Beach,2,0.13333333333333333,1.6,99.0,6,2024-06-11,2024-06-26,False,Central,15,0.06666666666666667,1.65,47.313981,-122.528086
Passage Island,2,0.07692307692307693,0.32967032967032966,350.0,3,2024-02-21,2025-02-08,False,Howe Sound,26,0.038461538461538464,5.833333333333333,49.346019,-123.304703
Pile Point,0,0.0,0.0,513.0,5,2022-08-04,2025-08-05,False,San Juan,54,0.0,8.55,48.481855,-123.094404
Point Caution,0,0.0,0.0,68.0,2,2023-05-24,2024-08-22,False,San Juan,5,0.0,1.1333333333333333,48.56323,-123.02555
Point Dalco,0,0.0,0.0,17.0,1,2023-07-15,2023-07-15,False,Central,1,0.0,0.2833333333333333,47.333038,-122.519207
Point Defiance North Wall,0,0.0,0.0,117.0,2,2023-08-19,2024-02-15,False,Central,7,0.0,1.95,47.319055,-122.544862
Point Defiance West Kelp Beds,0,0.0,0.0,57.0,1,2023-08-26,2023-08-26,False,Central,4,0.0,0.95,47.314675,-122.547696
Point George,0,0.0,0.0,28.0,1,2022-08-04,2022-08-04,False,San Juan,4,0.0,0.4666666666666667,48.560418,-122.988549
Point Hudson,4,0.07142857142857142,0.6026785714285714,508.5,10,2022-02-22,2025-10-14,True,Admiralty Inlet,56,0.07142857142857142,8.475,48.115774,-122.750321
Point Ruston,3,0.04838709677419355,0.08064516129032258,874.0,7,2024-01-30,2025-10-02,False,Central,62,0.016129032258064516,14.566666666666666,47.299244,-122.502268
Point Whitney Shellfish Lab,7,0.13725490196078433,1.5126050420168067,501.0,14,2023-05-22,2025-08-09,True,Hood Canal,51,0.11764705882352941,8.35,47.763705,-122.853794
Posession point ferry (Kehloken),1,1.0,10.0,6.0,1,2022-06-26,2022-06-26,False,Whidbey,1,1.0,0.1,,
Possession Point Fingers,1,0.004048582995951417,0.005398110661268557,3668.0,32,2020-07-04,2025-11-12,False,Whidbey,247,0.004048582995951417,61.13333333333333,47.905306,-122.376914
Potlatch State Park,38,5.428571428571429,12.502842779340474,186.0,4,2025-08-10,2025-11-02,False,Hood Canal,7,1.0,3.1,,
Pulali Point,2,1.0,3.8095238095238093,32.0,1,2022-09-03,2022-09-03,False,Hood Canal,2,1.0,0.5333333333333333,47.761821,-122.849161
Pulali Point West Wall,3,0.6,3.6666666666666665,46.0,1,2023-09-16,2023-09-16,False,Hood Canal,5,0.4,0.7666666666666667,47.735708,-122.85479
Redondo Beach,1,0.02,0.12,744.0,16,2023-07-06,2025-09-03,False,Central,50,0.02,12.4,47.34892,-122.325934
Rock of Life,0,0.0,0.0,32.0,1,2025-09-14,2025-09-14,False,Queen Charlotte Strait,4,0.0,0.5333333333333333,,
Rosario - Orcas,1,0.14285714285714285,0.16806722689075632,191.0,3,2023-05-23,2025-05-06,False,San Juan,7,0.14285714285714285,3.183333333333333,,
Rosario Beach Urchin Rocks,2,0.034482758620689655,0.08995502248875563,960.0,10,2022-05-21,2025-10-13,False,San Juan,58,0.034482758620689655,16.0,48.418732,-122.665668
Rosario Head,0,0.0,0.0,86.0,1,2023-09-17,2023-09-17,False,San Juan,6,0.0,1.4333333333333333,48.415477,-122.66477
Rosie's Ravine,5,1.6666666666666667,9.333333333333334,35.0,2,2022-08-19,2023-09-18,False,Hood Canal,3,1.0,0.5833333333333334,47.630199,-122.940635
SE Young Isalnd,0,0.0,0.0,43.0,1,2025-07-17,2025-07-17,False,San Juan,2,0.0,0.7166666666666667,,
Salt Creek,10,1.0,6.0,209.0,3,2023-10-26,2025-09-24,False,Strait of Juan de Fuca,10,0.2,3.4833333333333334,48.168709,-123.711306
Saltwater State Park,1,0.008264462809917356,0.019071837253655438,1313.5,26,2022-07-31,2025-05-04,True,Central,121,0.008264462809917356,21.891666666666666,47.372727,-122.327878
Sares Head,0,0.0,0.0,42.0,1,2022-07-16,2022-07-16,False,San Juan,3,0.0,0.7,48.423927,-122.675213
Scenic Beach State Park,75,2.7777777777777777,13.193203189935216,368.0,4,2023-02-27,2025-02-12,True,Hood Canal,27,0.7407407407407407,6.133333333333334,47.651043,-122.845563
Seabeck Bay,0,0.0,0.0,7.0,1,2023-08-12,2023-08-12,True,Hood Canal,1,0.0,0.11666666666666667,47.64656,-122.826454
Sekiu,59,0.9833333333333333,2.999304495589063,988.0,7,2022-10-20,2025-10-18,True,Strait of Juan de Fuca,60,0.3333333333333333,16.466666666666665,48.267835,-124.297926
Sekiu Outer Reef,2,2.0,1.153846153846154,104.0,1,2025-09-27,2025-09-27,False,Strait of Juan de Fuca,1,1.0,1.7333333333333334,,
Seven Tree Island,0,0.0,0.0,32.0,1,2025-09-13,2025-09-13,False,Queen Charlotte Strait,4,0.0,0.5333333333333333,,
Shirttail Reef,0,0.0,0.0,67.0,1,2022-05-09,2022-05-09,False,San Juan,8,0.0,1.1166666666666667,48.5887,-123.021767
Skyline,0,0.0,0.0,874.5,10,2022-10-18,2025-05-06,True,San Juan,81,0.0,14.575,48.491072,-122.690203
Smith Island,0,0.0,0.0,151.0,1,2024-08-22,2024-08-22,False,San Juan,6,0.0,2.5166666666666666,48.317517,-122.849206
South Hat Island,2,0.6666666666666666,1.3793103448275863,68.0,1,2024-05-19,2024-05-19,False,Whidbey,3,0.6666666666666666,1.1333333333333333,48.003363,-122.301536
Strawberry Falls,0,0.0,0.0,53.0,1,2023-07-27,2023-07-27,False,San Juan,4,0.0,0.8833333333333333,48.441679,-122.931917
Sucia Island - Lawson's Bluff,1,0.017543859649122806,0.07518796992481203,506.0,5,2022-08-03,2025-08-04,False,San Juan,57,0.017543859649122806,8.433333333333334,48.76691,-122.918814
Sund Rock,66,0.7021276595744681,3.7247811673602533,967.5,14,2023-06-01,2025-05-08,False,Hood Canal,94,0.23404255319148937,16.125,47.435212,-123.119796
Sund Rock North,6,0.21428571428571427,1.7857142857142858,231.0,3,2023-02-27,2025-10-14,False,Hood Canal,28,0.14285714285714285,3.85,47.435963,-123.119565
Sund Rock South,16,0.5925925925925926,1.7411557215478783,336.5,4,2023-02-27,2025-10-14,False,Hood Canal,27,0.25925925925925924,5.608333333333333,47.434327,-123.119777
Sunnyside Beach Park,0,0.0,0.0,504.5,5,2023-03-01,2025-05-24,True,South,53,0.0,8.408333333333333,47.179051,-122.592
Sunrise Beach State Park,0,0.0,0.0,445.0,6,2023-05-28,2025-09-13,False,Central,22,0.0,7.416666666666667,47.349115,-122.555572
Tacoma Narrows,0,0.0,0.0,31.0,1,2023-08-19,2023-08-19,False,Central,4,0.0,0.5166666666666667,47.265961,-122.550229
Tacoma Narrows - Point Evans,0,0.0,0.0,37.0,1,2023-03-30,2023-03-30,False,South,1,0.0,0.6166666666666667,47.283592,-122.547394
The Pinnacle,4,4.0,9.6,25.0,1,2022-09-03,2022-09-03,False,Hood Canal,1,1.0,0.4166666666666667,47.721325,-122.88082
Three Tree Point,0,0.0,0.0,386.0,4,2023-01-07,2024-04-23,False,Central,24,0.0,6.433333333333334,47.45313,-122.378457
Titlow Beach Park,3,0.06,0.10285714285714287,873.0,15,2023-05-15,2025-04-23,True,Central,50,0.02,14.55,47.247113,-122.554303
Triton Cove,59,0.921875,4.773838358149684,801.0,14,2023-02-27,2025-08-07,True,Hood Canal,64,0.390625,13.35,47.605289,-122.981388
Triton Head,10,2.5,9.362787668258793,112.0,1,2024-04-27,2024-04-27,False,Hood Canal,4,1.0,1.8666666666666667,47.604708,-122.980735
Unknown Site,2,1.0,3.333333333333333,31.5,1,2025-09-13,2025-09-13,False,Queen Charlotte Strait,2,0.5,0.525,,
Upright Head South,0,0.0,0.0,65.0,1,2025-08-03,2025-08-03,False,San Juan,1,0.0,1.0833333333333333,,
Vertical barge ISM 425,0,0.0,0.0,52.0,1,2022-10-16,2022-10-16,False,Central,2,0.0,0.8666666666666667,,
Whytecliff,0,0.0,0.0,229.0,2,2025-10-15,2025-10-16,True,Howe Sound,21,0.0,3.816666666666667,,
Wreck of the Ranger,3,0.15,0.9,276.0,2,2023-10-25,2023-12-17,True,Admiralty Inlet,20,0.05,4.6,48.102921,-122.778725
Z's Reef,0,0.0,0.0,567.0,8,2023-05-28,2025-08-30,True,South,20,0.0,9.45,47.246737,-122.603261
